run,test,n,auroc,bacc,tpr@fpr5,tpr@fpr1,auroc_continue,auroc_paraphrase,auroc_simplify,auroc_len0-20,auroc_len21-40,auroc_len41+,words_human,words_machine
mix_llmtrace+ainl_bino,gen_qwen38_27b_test,5636,0.7963620335013388,0.720215329633435,0.39338235294117646,0.20655080213903743,0.8557721867101595,0.7754833167349607,0.7577083061736181,0.6846814602720115,0.8157089782235318,0.8793975574188845,23.0,26.0
rubert,gen_qwen38_27b_test,5636,0.5990787586868057,0.5594027340684589,0.15441176470588236,0.050467914438502674,0.5783836029675666,0.6105385094914816,0.6083693483790577,0.6533651768602238,0.6617869814380136,0.5333975118483413,23.0,26.0
ruroberta,gen_qwen38_27b_test,5636,0.6170609016884157,0.5534923689596868,0.13836898395721925,0.045454545454545456,0.5785551057865732,0.6152604930857007,0.6574002771048906,0.6633388201841338,0.6762605989395947,0.6355105202854018,23.0,26.0
tfidf_lr,gen_qwen38_27b_test,5636,0.5660826753339212,0.5325575715776615,0.06550802139037433,0.011363636363636364,0.5226966754954652,0.5271550642775147,0.6483227423076108,0.5737365673865547,0.5564513331560358,0.6101863184209156,23.0,26.0
binoculars_qwen3_14b_bf16,gen_tpro2_32b_test,5642,0.6995551399879316,0.5156686737018852,0.20574482297929192,0.06346025384101536,0.8421086157318094,0.6335814666630376,0.623403426084695,0.6283764480694788,0.7225980168960198,0.7780092690350724,23.0,24.0
binoculars_qwen3_4b_bf16,gen_tpro2_32b_test,5642,0.6969218522644482,0.5788693449335731,0.19672678690714762,0.04909819639278557,0.8153038892731045,0.6349370518554808,0.6408801172773982,0.6333393446369648,0.7141947748343864,0.7744258469373551,23.0,24.0
binoculars_yagpt5_8b_bf16,gen_tpro2_32b_test,5642,0.5973781021257014,0.5129303168270075,0.11723446893787576,0.024382097528390115,0.7653366487096422,0.522035063764671,0.5052669739225631,0.5363936820603654,0.6144805243727869,0.6755517077954681,23.0,24.0
mix_all,gen_tpro2_32b_test,5642,0.7920335257625019,0.6765905930693209,0.36005344021376084,0.22545090180360722,0.8465855491452214,0.7122647572043342,0.8174140908279881,0.6491172311340294,0.7733515898571471,0.9325844278333826,23.0,24.0
mix_all_bino,gen_tpro2_32b_test,5642,0.8130141198812529,0.6961011650693129,0.39111556446225787,0.24983299933199732,0.8589330888508718,0.7509314450402065,0.8293157205543913,0.6766649227934349,0.7951425854164005,0.9486441338082032,23.0,24.0
mix_coat+ainl,gen_tpro2_32b_test,5642,0.6443032086327741,0.5555907888284122,0.1606546426185705,0.05711422845691383,0.687821527803055,0.6062463520922736,0.6389724316461477,0.5749840194551974,0.6198379187562852,0.7720342919886819,23.0,24.0
mix_coat+ainl_bino,gen_tpro2_32b_test,5642,0.6750274844754969,0.5673093417449199,0.16566466265865062,0.06245824983299933,0.7029668902194881,0.6151485700201712,0.7070508953061824,0.5950382640307398,0.6410343762044993,0.817189946397261,23.0,24.0
mix_coat+llmtrace,gen_tpro2_32b_test,5642,0.7966380268089049,0.6875169018802963,0.3754175016700067,0.21810287241148965,0.8407845885050776,0.7197115922569095,0.8295504719220732,0.6633559858299884,0.7738593221282827,0.9308060118905171,23.0,24.0
mix_coat+llmtrace_bino,gen_tpro2_32b_test,5642,0.7915372537623082,0.6800161248983365,0.3456913827655311,0.20340681362725452,0.8271926452031693,0.7254554403345943,0.8220707489967309,0.6667476109531904,0.7715313969625599,0.920324775977464,23.0,24.0
mix_llmtrace+ainl,gen_tpro2_32b_test,5642,0.8119041456528364,0.7340162449773666,0.40981963927855714,0.22845691382765532,0.8497071746199298,0.7586062270729945,0.8275125578750957,0.7013704879512048,0.8120063941509242,0.9294420904286186,23.0,24.0
mix_llmtrace+ainl_bino,gen_tpro2_32b_test,5642,0.8058103871388296,0.720987039537282,0.416499665998664,0.24949899799599198,0.8559316571421638,0.7555019143010079,0.8061481042976512,0.6923861185310041,0.8118447933420467,0.9335620091564177,23.0,24.0
rubert,gen_tpro2_32b_test,5642,0.6019639354237175,0.5649268072903108,0.15197060788243152,0.05043420173680695,0.5172843943750834,0.6205693987038399,0.6677837202761674,0.654831838244747,0.6714404419126984,0.5721822586977365,23.0,24.0
ruroberta,gen_tpro2_32b_test,5642,0.5793165510275333,0.5354701094030963,0.11189044756179024,0.03440213760855043,0.5214016943908564,0.6007317740701427,0.6156422661332027,0.6206598090190981,0.614698903844243,0.6773168286323403,23.0,24.0
tfidf_lr,gen_tpro2_32b_test,5642,0.5487870252085238,0.5237552143562049,0.06813627254509018,0.013360053440213761,0.48498753321442867,0.5469869416244039,0.6141950107206905,0.547476502349765,0.5350853918328262,0.5931009348805709,23.0,24.0
